id,host_id,zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,availability_365
32666944,23,78744,McKinney,Private room in home,Private room,2,1.0,1.0,2,4.77,98,-97.75119,30.17937,241
23629432,23,78744,McKinney,Private room in home,Private room,2,1.0,1.0,1,4.46,80,-97.7508,30.17879,265
39056933,23,78744,McKinney,Tent,Entire home/apt,2,1.0,1.0,1,4.94,40,-97.75093,30.18005,148
42625339,796,78725,Austins' Colony,Entire cottage,Entire home/apt,4,2.0,4.0,1,4.93,138,-97.57637,30.24147,125
17074156,2466,78702,East Downtown,Entire guesthouse,Entire home/apt,3,1.0,1.0,30,4.68,135,-97.71234,30.27651,80
43274463,5146,78701,Central City,Room in aparthotel,Entire home/apt,4,1.0,2.0,2,4.93,300,-97.74852,30.27064,0
23496,8028,78702,East Downtown,Entire home,Entire home/apt,6,3.0,4.0,3,4.93,200,-97.70463,30.25123,87
5456,8028,78702,East Downtown,Entire guesthouse,Entire home/apt,3,1.0,2.0,2,4.84,176,-97.73441,30.26057,298
5769,8186,78729,SW Williamson Co.,Private room in home,Private room,2,1.0,1.0,1,4.9,42,-97.78422,30.45697,0
609427,10615,78704,Bouldin Creek,Entire guesthouse,Entire home/apt,2,1.0,1.0,30,4.83,110,-97.76119,30.24492,161
50318,12409,78705,West Campus,Entire condo,Entire home/apt,2,2.0,3.0,30,4.88,136,-97.75145,30.28588,134
622495,12409,78705,West Campus,Entire condo,Entire home/apt,2,1.0,2.0,30,4.91,127,-97.75258,30.28714,241
6413,13879,78704,Travis Heights,Entire guesthouse,Entire home/apt,2,1.0,1.0,30,4.97,109,-97.73587,30.24885,0
6448,14156,78704,Zilker,Entire guesthouse,Entire home/apt,2,1.0,2.0,3,4.97,240,-97.76487,30.26034,133
6093402,16872,78704,Travis Heights,Entire home,Entire home/apt,3,2.0,2.0,2,4.93,195,-97.74042,30.24505,0
743441935227423999,16872,78745,Travis Heights,Entire home,Entire home/apt,4,2.0,2.0,1,4.5,135,-97.78252,30.21171,24
513741005953388605,16872,78745,Travis Heights,Entire home,Entire home/apt,4,2.0,2.0,1,4.71,117,-97.78222,30.21141,7
50754186,21279,78733,Austin Lake Estates,Entire home,Entire home/apt,4,2.0,2.0,4,4.67,499,-97.85852,30.34674,180
8502,25298,78741,East Riverside,Entire guest suite,Entire home/apt,2,1.0,1.0,4,4.53,85,-97.73682,30.23466,36
44593097,29811,78750,Spicewood At Bullcreek,Entire guesthouse,Entire home/apt,2,1.0,5.0,30,4.92,65,-97.80673,30.43238,27
49449717,29811,78759,Spicewood At Bullcreek,Entire townhouse,Entire home/apt,4,2.0,4.0,30,5.0,180,-97.76714,30.43297,75
672236950705705050,29811,78759,Spicewood At Bullcreek,Entire townhouse,Entire home/apt,4,2.0,2.0,30,5.0,154,-97.76824,30.43279,111
52202486,29811,78759,Spicewood At Bullcreek,Entire townhouse,Entire home/apt,4,2.0,3.0,2,4.75,152,-97.77223,30.4331,104
672235101392422265,29811,78759,Spicewood At Bullcreek,Entire townhouse,Entire home/apt,4,2.0,3.0,30,4.93,130,-97.76832,30.43283,348
22976884,31931,78722,Upper Boggy Creek,Entire home,Entire home/apt,8,3.0,6.0,5,4.93,900,-97.72106,30.28655,0
42222230,33001,78741,East Riverside - Oltorf,Entire home,Entire home/apt,16,5.0,13.0,2,4.98,2178,-97.71048,30.23007,332
817570922585467717,34399,78702,Central East Austin,Entire home,Entire home/apt,3,2.0,2.0,31,4.93,250,-97.72945,30.27536,193
8614178,37329,78746,Zilker,Entire home,Entire home/apt,8,4.0,4.0,2,4.25,799,-97.7963,30.25252,362
700110858468236388,37329,78704,Zilker,Entire townhouse,Entire home/apt,4,2.0,2.0,3,5.0,485,-97.76634,30.2554,364
18258,39458,78745,"Cherry Creek, Westgate",Entire bungalow,Entire home/apt,3,3.0,2.0,3,5.0,171,-97.78754,30.19756,134
21782048,42366,78702,Govalle,Entire home,Entire home/apt,5,2.0,2.0,4,5.0,275,-97.69736,30.26505,0
10331035,44487,78704,Travis Heights,Treehouse,Entire home/apt,4,1.0,2.0,1,4.87,154,-97.73935,30.24486,283
12034873,44487,78704,Travis Heights,Entire guesthouse,Entire home/apt,4,1.0,3.0,1,4.88,134,-97.73966,30.24654,271
42793871,44813,78745,South Austin,Entire guesthouse,Entire home/apt,2,1.0,1.0,4,4.95,158,-97.78166,30.22358,155
758730186625481809,49383,78758,Sun Bay South,Entire rental unit,Entire home/apt,4,1.0,3.0,5,5.0,90,-97.72372,30.39774,293
827428223208283619,49383,78758,Sun Bay South,Entire rental unit,Entire home/apt,4,1.0,3.0,31,4.93,126,-97.72364246786636,30.39523153823821,185
16827775,50793,78702,East Downtown,Entire guesthouse,Entire home/apt,2,1.0,1.0,1,4.98,206,-97.73146,30.26001,214
13035,50793,78702,East Downtown,Entire home,Entire home/apt,3,2.0,2.0,30,5.0,160,-97.73072,30.26098,306
16379302,50901,78702,East Downtown,Entire home,Entire home/apt,14,5.0,10.0,2,4.99,746,-97.71981,30.26436,194
32736649,50901,78702,East Downtown,Entire home,Entire home/apt,16,6.0,8.0,2,4.98,1221,-97.70803,30.25974,228
46126216,50977,78722,Cherrywood,Entire rental unit,Entire home/apt,2,1.0,1.0,4,4.71,239,-97.72027,30.28365,80
17761474,55122,78741,Montopolis,Private room in home,Private room,2,1.0,1.0,1,5.0,75,-97.69371,30.22535,0
22828,56488,78741,East Riverside,Entire guesthouse,Entire home/apt,2,1.0,1.0,29,4.94,65,-97.73225,30.23614,207
1880094,61292,78702,Holly,Entire guesthouse,Entire home/apt,4,1.0,2.0,1,4.94,125,-97.72129,30.2518,24
23005979,71963,78704,St. Edwards,Entire rental unit,Entire home/apt,2,1.0,1.0,3,4.2,64,-97.74679,30.22881,0
838576465771725491,72071,78703,"Clarksville, Old Enfield",Entire rental unit,Entire home/apt,4,2.0,2.0,1,4.93,336,-97.7598396,30.27296309999999,18
7859914,72957,78744,McKinney,Entire guest suite,Entire home/apt,6,2.0,3.0,2,4.91,93,-97.73784,30.19225,169
13730506,74618,78741,Parker Lane,Entire home,Entire home/apt,5,3.0,3.0,3,4.94,1000,-97.73921,30.23115,363
11257256,76152,78702,East Downtown,Entire home,Entire home/apt,3,1.0,2.0,30,5.0,99,-97.73245,30.25793,62
7750051,76443,78734,Lakeway,Private room in home,Private room,2,1.0,2.0,2,4.8,50,-97.93237,30.37926,0
27775728,80406,78704,Travis Heights,Entire home,Entire home/apt,4,2.0,2.0,3,4.97,417,-97.74679,30.2395,54
16726636,80406,78704,Travis Heights,Entire guest suite,Entire home/apt,2,1.0,1.0,1,4.88,299,-97.7457,30.24718,0
603059524317802880,80406,78704,Travis Heights,Entire home,Entire home/apt,4,2.0,2.0,3,5.0,276,-97.7470695952084,30.246325313522323,130
54315567,80406,78704,Travis Heights,Entire home,Entire home/apt,4,2.0,2.0,3,4.98,275,-97.74144,30.24182,154
2223634,80406,78704,Travis Heights,Entire home,Entire home/apt,4,2.0,2.0,3,4.91,251,-97.74816,30.24572,124
50901766,80406,78704,Travis Heights,Entire home,Entire home/apt,4,2.0,2.0,3,4.93,240,-97.74284,30.24194,145
19243254,81204,78702,Holly,Entire guesthouse,Entire home/apt,2,1.0,1.0,1,4.94,98,-97.72386,30.25293,119
633987409764200852,81204,78702,Holly,Private room in home,Private room,4,2.0,2.0,1,4.92,77,-97.72446,30.25622,47
18255361,81204,78702,Holly,Entire guesthouse,Entire home/apt,4,2.0,3.0,1,4.93,136,-97.72337,30.25381,107
18405855,81204,78702,Holly,Entire home,Entire home/apt,5,2.0,3.0,1,4.92,125,-97.72321,30.25337,106
636059583371333001,81204,78702,Holly,Entire home,Entire home/apt,4,2.0,3.0,1,5.0,115,-97.72397,30.25594,102
69810,82762,78704,Dawson,Entire guesthouse,Entire home/apt,2,1.0,1.0,2,4.98,134,-97.76619,30.2309,0
49359891,83051,78731,Leblon,Entire home,Entire home/apt,5,2.0,3.0,4,5.0,283,-97.756592,30.332045,91
4103238,87337,78704,Barton Hills,Entire rental unit,Entire home/apt,2,1.0,1.0,28,4.86,95,-97.775856,30.261789,324
33965652,88908,78751,Hyde Park,Entire home,Entire home/apt,4,2.0,2.0,30,4.95,75,-97.72528,30.30682,154
22982,89031,78703,Clarksville,Entire guesthouse,Entire home/apt,4,2.0,2.0,1,4.91,350,-97.75381,30.28074,124
50358838,98323,78704,East Downtown,Entire home,Entire home/apt,5,3.0,3.0,2,4.77,496,-97.75611,30.24556,165
24853177,98323,78702,East Downtown,Entire condo,Entire home/apt,4,1.0,1.0,1,4.85,244,-97.7328,30.26466,98
549845309427065628,98323,78704,East Downtown,Entire guesthouse,Entire home/apt,4,1.0,2.0,2,5.0,182,-97.77496,30.25475,1
23682902,101311,78722,Upper Boggy Creek,Private room in home,Private room,2,1.0,1.0,1,5.0,210,-97.71829,30.28383,0
25028,102862,78757,Brentwood,Entire bungalow,Entire home/apt,4,2.0,2.0,120,4.94,221,-97.73708,30.33771,123
42401834,102862,78757,Brentwood,Entire guesthouse,Entire home/apt,2,1.0,1.0,7,5.0,150,-97.73672,30.33975,35
22687970,105011,78722,"Cherrywood, Delwood",Entire home,Entire home/apt,8,4.0,4.0,3,5.0,625,-97.70641,30.28526,177
760164711888006151,105197,78704,Greater South River City,Entire townhouse,Entire home/apt,4,2.0,3.0,3,4.9,397,-97.74832,30.24868,35
21899319,115566,78704,South Lamar,Entire bungalow,Entire home/apt,4,2.0,2.0,30,5.0,150,-97.77771,30.23758,294
305392,117233,78702,East Downtown,Entire home,Entire home/apt,9,4.0,5.0,3,5.0,695,-97.73244,30.25688,0
73005,128514,78727,Angus Valley,Entire townhouse,Entire home/apt,6,2.0,4.0,4,4.89,297,-97.73183,30.41419,137
705234040288970768,132222,78702,Blackshear-Prospect Hill,Entire bungalow,Entire home/apt,4,2.0,2.0,2,4.92,193,-97.72183,30.26975,30
7005386,132884,78704,South First,Entire home,Entire home/apt,7,3.0,4.0,3,4.93,850,-97.75493,30.24643,0
7247795,134301,78748,"Shady Hollow, Tanglewood Forest",Entire home,Entire home/apt,4,2.0,2.0,4,4.9,155,-97.8196,30.14731,177
720442140693994182,139613,78704,South Lamar,Entire home,Entire home/apt,8,3.0,4.0,3,4.8,472,-97.7841279655695,30.25429510615013,10
53706189,139613,78704,South Lamar,Entire home,Entire home/apt,5,2.0,2.0,14,4.77,228,-97.7835,30.2311,2
53260960,141647,78702,Holly,Entire home,Entire home/apt,4,2.0,2.0,90,5.0,185,-97.71743,30.25763,165
845834382669162479,141705,78757,Wooten,Entire home,Entire home/apt,6,3.0,6.0,2,4.93,203,-97.72455468830286,30.367495208699307,362
36807671,142776,78723,Culver City,Entire home,Entire home/apt,5,2.0,3.0,2,4.92,137,-97.67099,30.3164,187
821869492684051530,144734,78722,Cherrywood,Entire home,Entire home/apt,4,2.0,2.0,2,4.93,282,-97.70912919896982,30.285886674314767,86
719705945133557186,146224,78723,Windsor Park,Entire home,Entire home/apt,11,4.0,6.0,2,5.0,600,-97.69954,30.31096,4
21142674,150674,78702,Holly,Entire home,Entire home/apt,3,1.0,1.0,2,4.94,210,-97.72416,30.25246,14
34978642,151658,78704,Gold Coast,Entire guest suite,Entire home/apt,2,1.0,1.0,2,4.84,175,-97.73556,30.24697,160
826295226841105690,157632,78723,Pecan Springs Springdale,Entire rental unit,Entire home/apt,4,2.0,2.0,2,5.0,63,-97.6752226,30.3077866,178
35547415,165480,78723,Windsor Park,Entire home,Entire home/apt,6,3.0,3.0,2,5.0,250,-97.69683,30.31211,0
300574,167892,78704,Bouldin Creek,Entire guesthouse,Entire home/apt,4,1.0,3.0,2,4.89,144,-97.75756,30.25525,155
54200425,169421,78702,Central East Austin,Entire guesthouse,Entire home/apt,4,1.0,2.0,1,5.0,186,-97.72082,30.27167,137
4941458,169512,78704,Travis Heights,Tiny home,Entire home/apt,2,1.0,1.0,3,4.87,98,-97.73776,30.24455,332
4901443,169512,78704,Travis Heights,Entire home,Entire home/apt,2,1.0,1.0,5,5.0,260,-97.73835,30.2467,68
968883,169512,78704,Travis Heights,Entire cottage,Entire home/apt,3,1.0,1.0,3,4.64,178,-97.73792,30.24467,91
40285,170787,78731,Northwest Hills,Entire home,Entire home/apt,4,2.0,2.0,2,4.92,450,-97.76207,30.35123,348
