zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,total_reviews,availability_365
78744,McKinney,Private room in home,Private room,2,1,1,2,4.77,98,-97.75119,30.17937,13,241
78744,McKinney,Private room in home,Private room,2,1,1,1,4.46,80,-97.7508,30.17879,13,265
78744,McKinney,Tent,Entire home/apt,2,1,1,1,4.94,40,-97.75093,30.18005,18,148
78725,Austins' Colony,Entire cottage,Entire home/apt,4,2,4,1,4.93,138,-97.57637,30.24147,0,125
78702,East Downtown,Entire guesthouse,Entire home/apt,3,1,1,30,4.68,135,-97.71234,30.27651,31,80
78701,Central City,Room in aparthotel,Entire home/apt,4,1,2,2,4.93,300,-97.74852,30.27064,0,0
78702,East Downtown,Entire home,Entire home/apt,6,3,4,3,4.93,200,-97.70463,30.25123,0,87
78702,East Downtown,Entire guesthouse,Entire home/apt,3,1,2,2,4.84,176,-97.73441,30.26057,630,298
78729,SW Williamson Co.,Private room in home,Private room,2,1,1,1,4.9,42,-97.78422,30.45697,275,0
78704,Bouldin Creek,Entire guesthouse,Entire home/apt,2,1,1,30,4.83,110,-97.76119,30.24492,60,161
78705,West Campus,Entire condo,Entire home/apt,2,2,3,30,4.88,136,-97.75145,30.28588,33,134
78705,West Campus,Entire condo,Entire home/apt,2,1,2,30,4.91,127,-97.75258,30.28714,34,241
78704,Travis Heights,Entire guesthouse,Entire home/apt,2,1,1,30,4.97,109,-97.73587,30.24885,122,0
78704,Zilker,Entire guesthouse,Entire home/apt,2,1,2,3,4.97,240,-97.76487,30.26034,295,133
78704,Travis Heights,Entire home,Entire home/apt,3,2,2,2,4.93,195,-97.74042,30.24505,0,0
78745,Travis Heights,Entire home,Entire home/apt,4,2,2,1,4.5,135,-97.78252,30.21171,2,24
78745,Travis Heights,Entire home,Entire home/apt,4,2,2,1,4.71,117,-97.78222,30.21141,28,7
78733,Austin_Hills_Lake_Estates,Entire home,Entire home/apt,4,2,2,4,4.67,499,-97.85852,30.34674,6,180
78741,East Riverside,Entire guest suite,Entire home/apt,2,1,1,4,4.53,85,-97.73682,30.23466,48,36
78750,Spicewood At Bullcreek,Entire guesthouse,Entire home/apt,2,1,5,30,4.92,65,-97.80673,30.43238,13,27
78759,Spicewood At Bullcreek,Entire townhouse,Entire home/apt,4,2,4,30,5.0,180,-97.76714,30.43297,6,75
78759,Spicewood At Bullcreek,Entire townhouse,Entire home/apt,4,2,2,30,5.0,154,-97.76824,30.43279,1,111
78759,Spicewood At Bullcreek,Entire townhouse,Entire home/apt,4,2,3,2,4.75,152,-97.77223,30.4331,4,104
78759,Spicewood At Bullcreek,Entire townhouse,Entire home/apt,4,2,3,30,4.93,130,-97.76832,30.43283,0,348
78722,Upper Boggy Creek,Entire home,Entire home/apt,8,3,6,5,4.93,900,-97.72106,30.28655,0,0
78741,East Riverside - Oltorf,Entire home,Entire home/apt,16,5,13,2,4.98,2178,-97.71048,30.23007,42,332
78702,Central East Austin,Entire home,Entire home/apt,3,2,2,31,4.93,250,-97.72945,30.27536,0,193
78746,Zilker,Entire home,Entire home/apt,8,4,4,2,4.25,799,-97.7963,30.25252,4,362
78704,Zilker,Entire townhouse,Entire home/apt,4,2,2,3,5.0,485,-97.76634,30.2554,3,364
78745,Cherry Creek,Entire bungalow,Entire home/apt,3,3,2,3,5.0,171,-97.78754,30.19756,2,134
78702,Govalle,Entire home,Entire home/apt,5,2,2,4,5.0,275,-97.69736,30.26505,2,0
78704,Travis Heights,Treehouse,Entire home/apt,4,1,2,1,4.87,154,-97.73935,30.24486,474,283
78704,Travis Heights,Entire guesthouse,Entire home/apt,4,1,3,1,4.88,134,-97.73966,30.24654,345,271
78745,South Austin,Entire guesthouse,Entire home/apt,2,1,1,4,4.95,158,-97.78166,30.22358,37,155
78758,Sun Bay South,Entire rental unit,Entire home/apt,4,1,3,5,5.0,90,-97.72372,30.39774,2,293
78758,Sun Bay South,Entire rental unit,Entire home/apt,4,1,3,31,4.93,126,-97.72364,30.395231,0,185
78702,East Downtown,Entire guesthouse,Entire home/apt,2,1,1,1,4.98,206,-97.73146,30.26001,278,214
78702,East Downtown,Entire home,Entire home/apt,3,2,2,30,5.0,160,-97.73072,30.26098,17,306
78702,East Downtown,Entire home,Entire home/apt,14,5,10,2,4.99,746,-97.71981,30.26436,131,194
78702,East Downtown,Entire home,Entire home/apt,16,6,8,2,4.98,1221,-97.70803,30.25974,60,228
78722,Cherrywood,Entire rental unit,Entire home/apt,2,1,1,4,4.71,239,-97.72027,30.28365,7,80
78741,Montopolis,Private room in home,Private room,2,1,1,1,5.0,75,-97.69371,30.22535,1,0
78741,East Riverside,Entire guesthouse,Entire home/apt,2,1,1,29,4.94,65,-97.73225,30.23614,50,207
78702,Holly,Entire guesthouse,Entire home/apt,4,1,2,1,4.94,125,-97.72129,30.2518,803,24
78704,St. Edwards,Entire rental unit,Entire home/apt,2,1,1,3,4.2,64,-97.74679,30.22881,6,0
78703,Clarksville,Entire rental unit,Entire home/apt,4,2,2,1,4.93,336,-97.75984,30.272963,0,18
78744,McKinney,Entire guest suite,Entire home/apt,6,2,3,2,4.91,93,-97.73784,30.19225,806,169
78741,Parker Lane,Entire home,Entire home/apt,5,3,3,3,4.94,1000,-97.73921,30.23115,63,363
78702,East Downtown,Entire home,Entire home/apt,3,1,2,30,5.0,99,-97.73245,30.25793,2,62
78734,Lakeway,Private room in home,Private room,2,1,2,2,4.8,50,-97.93237,30.37926,5,0
78704,Travis Heights,Entire home,Entire home/apt,4,2,2,3,4.97,417,-97.74679,30.2395,113,54
78704,Travis Heights,Entire guest suite,Entire home/apt,2,1,1,1,4.88,299,-97.7457,30.24718,8,0
78704,Travis Heights,Entire home,Entire home/apt,4,2,2,3,5.0,276,-97.74707,30.246325,10,130
78704,Travis Heights,Entire home,Entire home/apt,4,2,2,3,4.98,275,-97.74144,30.24182,55,154
78704,Travis Heights,Entire home,Entire home/apt,4,2,2,3,4.91,251,-97.74816,30.24572,301,124
78704,Travis Heights,Entire home,Entire home/apt,4,2,2,3,4.93,240,-97.74284,30.24194,41,145
78702,Holly,Entire guesthouse,Entire home/apt,2,1,1,1,4.94,98,-97.72386,30.25293,277,119
78702,Holly,Private room in home,Private room,4,2,2,1,4.92,77,-97.72446,30.25622,39,47
78702,Holly,Entire guesthouse,Entire home/apt,4,2,3,1,4.93,136,-97.72337,30.25381,413,107
78702,Holly,Entire home,Entire home/apt,5,2,3,1,4.92,125,-97.72321,30.25337,86,106
78702,Holly,Entire home,Entire home/apt,4,2,3,1,5.0,115,-97.72397,30.25594,34,102
78704,Dawson,Entire guesthouse,Entire home/apt,2,1,1,2,4.98,134,-97.76619,30.2309,446,0
78731,Leblon,Entire home,Entire home/apt,5,2,3,4,5.0,283,-97.75659,30.332045,7,91
78704,Barton Hills,Entire rental unit,Entire home/apt,2,1,1,28,4.86,95,-97.775856,30.26179,14,324
78751,Hyde Park,Entire home,Entire home/apt,4,2,2,30,4.95,75,-97.72528,30.30682,22,154
78703,Clarksville,Entire guesthouse,Entire home/apt,4,2,2,1,4.91,350,-97.75381,30.28074,166,124
78704,East Downtown,Entire home,Entire home/apt,5,3,3,2,4.77,496,-97.75611,30.24556,99,165
78702,East Downtown,Entire condo,Entire home/apt,4,1,1,1,4.85,244,-97.7328,30.26466,413,98
78704,East Downtown,Entire guesthouse,Entire home/apt,4,1,2,2,5.0,182,-97.77496,30.25475,9,1
78722,Upper Boggy Creek,Private room in home,Private room,2,1,1,1,5.0,210,-97.71829,30.28383,1,0
78757,Brentwood,Entire bungalow,Entire home/apt,4,2,2,120,4.94,221,-97.73708,30.33771,35,123
78757,Brentwood,Entire guesthouse,Entire home/apt,2,1,1,7,5.0,150,-97.73672,30.33975,14,35
78722,"Cherrywood, Delwood",Entire home,Entire home/apt,8,4,4,3,5.0,625,-97.70641,30.28526,8,177
78704,Greater South River City,Entire townhouse,Entire home/apt,4,2,3,3,4.9,397,-97.74832,30.24868,10,35
78704,South Lamar,Entire bungalow,Entire home/apt,4,2,2,30,5.0,150,-97.77771,30.23758,8,294
78702,East Downtown,Entire home,Entire home/apt,9,4,5,3,5.0,695,-97.73244,30.25688,13,0
78727,Angus Valley,Entire townhouse,Entire home/apt,6,2,4,4,4.89,297,-97.73183,30.41419,44,137
78702,Blackshear-Prospect Hill,Entire bungalow,Entire home/apt,4,2,2,2,4.92,193,-97.72183,30.26975,13,30
78704,South First,Entire home,Entire home/apt,7,3,4,3,4.93,850,-97.75493,30.24643,0,0
78748,Shady Hollow,Entire home,Entire home/apt,4,2,2,4,4.9,155,-97.8196,30.14731,41,177
78704,South Lamar,Entire home,Entire home/apt,8,3,4,3,4.8,472,-97.78413,30.254295,10,10
