zip_code,crime_type,Total_crimes
78610,Assault With Injury,1
78610,Auto Theft,1
78610,Burglary Non Residence,1
78610,Burglary Of Residence,1
78610,Burglary Of Vehicle,1
78610,Criminal Trespass,1
78610,DWI,1
78610,Disturbance - Other,1
78610,Family Disturbance,1
78610,Mail Theft,1
78610,Theft,4
78610,Theft Of Trailer,1
78610,Warrant Arrest Non Traffic,1
78613,Agg Aslt Enhanc Strangl/Suffoc,1
78613,Agg Aslt W/Motor Veh Fam/Dat V,4
78613,Agg Assault On Peace Officer,1
78613,Agg Assault With Motor Veh,1
78613,Agg Robbery By Assault,2
78613,Aggravated Assault,39
78613,Aggravated Robbery,55
78613,Applic To Revoke Probation,1
78613,Arson,1
78613,Assault By Contact,97
78613,Assault By Threat,48
78613,Assault On Public Servant,4
78613,Assault With Injury,212
78613,Att Auto Theft,1
78613,Att Theft,7
78613,Auto Theft,159
78613,Bomb Threat,2
78613,Breach Of Computer Security,4
78613,Burglary Non Residence,135
78613,Burglary Of Coin-Op Machine,13
78613,Burglary Of Residence,36
78613,Burglary Of Shed/Detached Garage/Storage Unit,59
78613,Burglary Of Vehicle,927
78613,Camping In Park,3
78613,Child Custody Interfere,22
78613,Child Endangerment- Abandonmen,13
78613,Civil Disturbance/Demo,2
78613,Controlled Sub Viol - Other,1
78613,Counterfeiting,16
78613,Crash/Fail Stop And Render Aid,19
78613,Crash/Intox Manslaughter,1
78613,Cred Card Abuse By Forgery,65
78613,Criminal Mischief,295
78613,Criminal Solicitation Of Minor,1
78613,Criminal Trespass,127
78613,Criminal Trespass/In Vehicle,1
78613,Cruelty To Animals,9
78613,Custody Arrest Traffic Warr,53
78613,DWI,159
78613,Damage City Prop,8
78613,Dating Disturbance,43
78613,Deadly Conduct,3
78613,Deadly Conduct Fam/Date Viol,1
78613,Debit/Credit Card Abuse,186
78613,Del Of Alcohol To Minor,1
78613,Disturbance - Other,184
78613,Doc Abusive Language,4
78613,Doc Discharge Gun - Pub Road,1
78613,Doc Display Gun/Deadly Pub Plc,3
78613,Doc Exposure,6
78613,Doc Fighting,8
78613,Doc Offensive Gesture,6
78613,Driving While Intox / Felony,8
78613,Dui - Age 17 To 20,2
78613,Dumping Refuse Near Highway,1
78613,Dwi  .15 Bac Or Above,10
78613,Dwi - Child Passenger,4
78613,Dwi - Drug Recognition Expert,3
78613,Engaging In Organized Crime,1
78613,Evading / Vehicle Pursuit,1
78613,Evading Vehicle,1
78613,Expired-Att Agg Robbery/Weap,1
78613,Explosive Ordnance Disposal,2
78613,Failure To Identify,5
78613,False Alarm Or Report,1
78613,False Report To Peace Officer,2
78613,False Statement -Obtain Credit,8
78613,Family Disturbance,355
78613,Felony Enhancement/Asslt W/Inj,3
78613,Forgery - Other,15
78613,Forgery And Passing,63
78613,Forgery By Making,8
78613,Forgery Of Identification,1
78613,Fraud - Other,56
78613,Fraud Destruction Of A Writing,2
78613,Graffiti,11
78613,Harassment,99
78613,Identity Theft,58
78613,Identity Theft-Tax Returns,1
78613,Impersonating Public Servant,1
78613,Indecent Assault,2
78613,Indecent Exposure,20
78613,Inhalant Abuse,2
78613,Inj To Elderly   Fam/Date Viol,1
